driver_id,customer_id,n_trips,avg_gmv,n_ghost,min_gap_min,n_close_gap,n_gap_valid,promo_rate,pct_close_gap,ghost_rate,high_confidence,n_rated_by_customer,n_rated_by_driver,pct_rate_customer_is_5,pct_rate_driver_is_5,mutual_perfect_rating,total_gmv_flagged,if_score_percentile,vae_rank_pct,lof_score_percentile
01623964a3058ee3,bf2d77379f206b63,25,156600.0,0,12.216666666666669,0,24,0.92,0.0,0.0,False,23,25,1.0,1.0,True,3915000.0,0.021904185743485842,0.009912189953213302,0.6864182593349633
01714f487853f9ea,df1ffc3f608e21a2,38,143447.36842105264,0,5.516666666666667,0,37,0.9736842105263158,0.0,0.0,False,25,38,1.0,1.0,True,5451000.0,0.018625180327399384,0.003207411411368377,0.2158487648244336
018a50f602cedb8d,5e2b409f5604eb95,24,124666.66666666669,1,22.53333333333333,0,23,1.0,0.0,0.0416666666666666,False,22,22,1.0,1.0,True,2992000.0,0.02594924701005538,0.011404924951584516,0.10406188585767828
019d9de93d765cc3,6fad3cec31e51149,48,67687.5,4,7.216666666666667,0,47,0.0416666666666666,0.0,0.0833333333333333,False,27,37,1.0,1.0,True,3249000.0,0.0026489781745676617,0.007331226083127751,0.053058316896543084
01e148ef553c737f,99d38cf092913061,37,29054.054054054053,0,2.6333333333333333,13,36,0.4054054054054054,0.3611111111111111,0.0,False,37,23,1.0,1.0,True,1075000.0,0.025322799468772486,0.0037193085451023844,0.19182897624152953
0201eeeb1af9bfca,034f9bf0375ffb30,26,121615.3846153846,0,16.7,0,25,0.8461538461538461,0.0,0.0,False,17,26,1.0,1.0,True,3162000.0,0.015235204203999956,0.025802479300383374,0.23810376119103785
02120e1d17fa92e9,b9a158e9775155e9,36,118611.11111111112,6,38.66666666666666,0,35,1.0,0.0,0.1666666666666666,False,7,32,1.0,1.0,True,4270000.0,0.0011204461738374028,0.009990943358403115,0.01750115445332608
023f52e48d1ad128,784ca6b743abf41b,28,10428.57142857143,2,0.8666666666666667,24,27,0.0,0.8888888888888888,0.0714285714285714,True,4,0,1.0,,False,292000.0,0.020296900337565732,0.0036047581375535653,0.07769381392002234
025aa77f9591f6f3,19e092eb127d8c48,25,24080.0,1,103.0,0,24,1.0,0.0,0.04,False,25,25,1.0,1.0,True,602000.0,0.012235415406313876,0.007914717221579881,0.062225929200688736
025aa77f9591f6f3,bf328279bd440dc2,36,21916.666666666668,0,16.116666666666667,0,35,0.9722222222222222,0.0,0.0,False,22,36,1.0,1.0,True,789000.0,0.02947525174241909,0.007682036706246231,0.19999785217985847
029c527405d359e5,ee101b9cc24de36e,29,154068.9655172414,15,37.766666666666666,0,28,1.0,0.0,0.5172413793103449,True,0,0,,,False,4468000.0,0.00041166552712875826,0.002022530633284725,0.015442826817682288
02db4cdc33ebde19,d4c57cea03afcdfd,30,149433.33333333334,0,1.5166666666666666,6,29,0.8,0.2068965517241379,0.0,False,28,30,1.0,1.0,True,4483000.0,0.007356283984779115,0.00509749313592478,0.34327893382208174
02fecc3c3ed3803b,14c75da1a703e460,30,334666.6666666667,0,37.5,0,29,0.9666666666666668,0.0,0.0,False,26,30,1.0,1.0,True,10040000.0,0.005426825557627804,0.00246283376230072,0.4230704520803428
031d6b289f9fd963,2c7192581a1b6e85,115,15043.478260869566,115,0.4666666666666667,108,114,1.0,0.9473684210526316,1.0,True,110,111,1.0,1.0,True,1730000.0,7.159400471804492e-05,1.4318800943602383e-05,0.00018256471203101452
033e6ffe4d548f30,e429a4bcb5ebb278,27,28000.0,1,1.5833333333333333,22,26,0.0,0.8461538461538461,0.037037037037037,True,0,0,,,False,756000.0,0.044660340143116414,0.004789638915637218,0.07166559872276296
033e6ffe4d548f30,fe15219f7085daf7,31,28000.0,2,1.3333333333333333,26,30,0.0,0.8666666666666667,0.064516129032258,True,0,0,,,False,868000.0,0.028379863470233004,0.0036942506434510802,0.055213296438556235
03ab968fd50e7895,579c0a874c04eb41,27,212000.0,0,34.65,0,26,1.0,0.0,0.0,False,13,26,1.0,1.0,True,5724000.0,0.03525646762340122,0.010173508070434156,0.08474940308498566
0455fce5025b170d,06b645fb5851b587,25,392440.0,4,27.48333333333333,0,24,0.92,0.0,0.16,False,10,0,1.0,,False,9811000.0,0.0004474625294877807,0.003332700919625009,0.16136214753376552
04a9ec6821110c1f,f89b8475159ebc99,26,211038.46153846156,4,65.6,0,25,0.9615384615384616,0.0,0.1538461538461538,False,4,1,1.0,1.0,True,5487000.0,0.0006300272415187952,0.0042240462783647015,0.0983486842811783
