order_date,n_orders,total_gmv,avg_km_ratio,avg_discount_ratio,pct_km_ratio_outlier,pct_high_discount
2026-07-14,1103316,74640900600.0,0.9748248183135576,0.07110003217937207,0.14211703627972405,0.3856556054657052
2026-07-15,1269758,90528633600.0,0.9792092151228597,0.07355280827715505,0.16436202803998873,0.3567608945956631
2026-07-16,1288141,91247501800.0,0.9743336409779522,0.07314293260222005,0.1568927625159047,0.3474774888773822
2026-07-17,1385817,99052285600.0,0.9744854972225956,0.07427525051875923,0.15283403219905659,0.35791161459269155
2026-07-24,1403539,102550340100.0,0.9690927138896719,0.07316694187464286,0.1629452405668813,0.3682833180980365
2026-07-25,1453007,113323825300.0,0.9796241888186221,0.0676594240036971,0.1790769074065025,0.35037683920311463
2026-07-26,1378806,108283021600.0,0.979350995263418,0.0690379881158427,0.1597033955465816,0.32644186346737686
2026-07-27,1235073,88854417200.0,0.9783246160333448,0.06917770776025996,0.15586123249394973,0.351720100755178
2026-07-28,1246561,90280536500.0,0.9670476280391239,0.06966981654961824,0.1530611017030053,0.3599502952522981
2026-07-29,1259747,95974576800.0,0.9734277164673082,0.07054046296538427,0.1758289561316677,0.3624537307888013
2026-07-30,1288816,89151659100.0,0.911215864316789,0.07625125606930788,0.1256967635411106,0.34124343583568173
2026-07-31,1386851,105455015300.0,0.9293977215277637,0.07575752120491963,0.1453652915850369,0.3616105839776587
