customer_id,n_orders,n_promo,n_codes,total_discount,promo_rate,priority,max_single_discount,pct_from_max_single_order,single_order_driven,if_score_percentile,vae_rank_pct,lof_score_percentile
0f00804f131477ec,40,34,3,1066000.0,0.85,"Trung bình - nghi săn nhiều mã, cần domain expert xác nhận",42000.0,0.0393996247654784,False,0.0012037160876140702,0.010186433102306713,0.052598849325153095
0f7c4f452502f87e,46,43,23,1021000.0,0.9347826086956522,"Trung bình - nghi săn nhiều mã, cần domain expert xác nhận",71000.0,0.0695396669931439,False,5.7156509383384146e-05,0.007933323502413714,0.028577111561504404
0fcbb1d31f07b7d0,21,17,5,749000.0,0.8095238095238095,"Trung bình - nghi săn nhiều mã, cần domain expert xác nhận",100000.0,0.1335113484646194,False,0.006706744811046296,0.030439270637215077,0.014165669285577926
0fda35456063d99f,25,25,14,766000.0,1.0,"Trung bình - nghi săn nhiều mã, cần domain expert xác nhận",50000.0,0.0652741514360313,False,0.0012768764196248018,0.04776226550113116,0.04580408348965639
10071772da00a282,21,20,2,1087000.0,0.9523809523809524,Rất cao - nghi tái sử dụng 1 mã / lỗi hệ thống,100000.0,0.0919963201471941,False,0.004789715486327591,0.02620854581265697,0.01577291032943869
1091d8fe768524aa,35,32,4,682000.0,0.9142857142857144,"Trung bình - nghi săn nhiều mã, cần domain expert xác nhận",50000.0,0.0733137829912023,False,0.0010905461990349695,0.015159049418661197,0.8588257080834165
10cb13a698e00116,19,19,7,795000.0,1.0,"Trung bình - nghi săn nhiều mã, cần domain expert xác nhận",86000.0,0.1081761006289308,False,0.00859976840182398,0.07431489350027609,0.014413728536301814
13bdea6300d78b69,30,27,9,715000.0,0.9,"Trung bình - nghi săn nhiều mã, cần domain expert xác nhận",50000.0,0.0699300699300699,False,0.000703025065415625,0.09312624386853541,0.028242174416517773
1547899c079a5ff4,20,20,5,861000.0,1.0,"Trung bình - nghi săn nhiều mã, cần domain expert xác nhận",50000.0,0.0580720092915214,False,0.012908226079143475,0.08214362059051816,0.03002545750927936
157957f0e7f462c7,7,6,1,849000.0,0.8571428571428571,Rất cao - nghi tái sử dụng 1 mã / lỗi hệ thống,160000.0,0.1884570082449941,False,0.005714507808150747,0.0142434021383393,0.013322039207079176
15bfc4723986c5c2,23,21,6,805000.0,0.9130434782608696,"Trung bình - nghi săn nhiều mã, cần domain expert xác nhận",50000.0,0.062111801242236,False,0.0055613283630032775,0.04924376222434845,0.2818078832544002
16419b0ca6bd0079,8,8,8,700000.0,1.0,"Trung bình - nghi săn nhiều mã, cần domain expert xác nhận",100000.0,0.1428571428571428,False,0.01607355356879529,0.06095055847625319,0.023732525826168766
171755e0985d91ee,7,7,2,1076000.0,1.0,Rất cao - nghi tái sử dụng 1 mã / lỗi hệ thống,303000.0,0.2815985130111524,False,0.02128279783399692,0.033121054057483446,0.022755149515712895
17836b019fcbe097,30,28,8,1016000.0,0.9333333333333332,"Trung bình - nghi săn nhiều mã, cần domain expert xác nhận",112000.0,0.1102362204724409,False,0.00027092185447724084,0.026631503982094018,0.020520329998822577
187dda438928547d,16,15,2,791000.0,0.9375,Rất cao - nghi tái sử dụng 1 mã / lỗi hệ thống,100000.0,0.1264222503160556,False,0.0037917628324937044,0.024632169283863248,0.01400677418949212
18eebb7e7247bd11,27,27,2,928000.0,1.0,Rất cao - nghi tái sử dụng 1 mã / lỗi hệ thống,77000.0,0.0829741379310344,False,0.0017501323173192225,0.012186910930725214,0.04992849720676139
19c420d3d7e60f75,21,21,1,957000.0,1.0,Rất cao - nghi tái sử dụng 1 mã / lỗi hệ thống,86000.0,0.089864158829676,False,0.005028629695550137,0.005541895149812959,0.024338384825632636
19d8ccb251d42091,65,60,13,1034000.0,0.9230769230769232,"Trung bình - nghi săn nhiều mã, cần domain expert xác nhận",50000.0,0.0483558994197292,False,8.802102445041159e-05,0.0158792214368918,0.03866980798842238
1a3b0d432a081f7f,40,37,11,902000.0,0.925,"Trung bình - nghi săn nhiều mã, cần domain expert xác nhận",50000.0,0.0554323725055432,False,0.00035779974873998473,0.05338189350370548,0.20268955670554453
1a3fc6e5db945054,72,63,45,806000.0,0.875,"Trung bình - nghi săn nhiều mã, cần domain expert xác nhận",40000.0,0.0496277915632754,False,0.00014860692439679876,0.0038306292588744517,0.03987123781566111
1abe0ff8b3f4c334,6,5,1,752000.0,0.8333333333333334,Rất cao - nghi tái sử dụng 1 mã / lỗi hệ thống,211000.0,0.2805851063829787,False,0.017639641925900014,0.08799587558628286,0.035650801162792026
1ae06f987e5ef83d,42,39,25,751000.0,0.9285714285714286,"Trung bình - nghi săn nhiều mã, cần domain expert xác nhận",50000.0,0.066577896138482,False,0.0001886164809651677,0.02126679401136955,0.2159201454976103
1aeee9eb9966c94a,72,70,4,1356000.0,0.9722222222222222,"Trung bình - nghi săn nhiều mã, cần domain expert xác nhận",50000.0,0.0368731563421828,False,0.00015146474986596798,0.0032922149404829293,0.019417209367723263
1b3087ac45b6289a,39,37,26,682000.0,0.9487179487179488,"Trung bình - nghi săn nhiều mã, cần domain expert xác nhận",50000.0,0.0733137829912023,False,0.00020804969415551828,0.005946563236247315,0.02803183846198692
1bbf5326187fbb31,41,40,34,797000.0,0.975609756097561,"Trung bình - nghi săn nhiều mã, cần domain expert xác nhận",50000.0,0.0627352572145545,False,0.0002526317714745579,0.01431884873072542,0.027135624394855458
1d820e228629aa62,19,18,6,779000.0,0.9473684210526316,"Trung bình - nghi săn nhiều mã, cần domain expert xác nhận",113000.0,0.1450577663671373,False,0.000677876201286936,0.013079695607293607,0.014521182773942575
1e082c1ac8974526,29,27,22,698000.0,0.9310344827586208,"Trung bình - nghi săn nhiều mã, cần domain expert xác nhận",50000.0,0.0716332378223495,False,0.0016701132041824847,0.04713125763753856,0.03672648666938732
1eb397649ed3a442,19,18,6,756000.0,0.9473684210526316,"Trung bình - nghi săn nhiều mã, cần domain expert xác nhận",100000.0,0.1322751322751322,False,0.0019844740057910976,0.09947290267046638,0.03274153483517778
1eec8b452d127c3b,24,22,4,846000.0,0.9166666666666666,"Trung bình - nghi săn nhiều mã, cần domain expert xác nhận",50000.0,0.0591016548463357,False,0.010791148971582927,0.017149239075390565,0.2626593094807788
1f5e50bfb10ed993,7,6,1,815000.0,0.8571428571428571,Rất cao - nghi tái sử dụng 1 mã / lỗi hệ thống,149000.0,0.1828220858895705,False,0.015116753601717438,0.03089080706134384,0.028750867350029893
